review_id,freelancer_id,client_id,review_text,client_rating,communication_score,quality_score,delivery_score,budget_usd,project_category
14,14,1670,"El trabajo fue correcto, aunque hubo algunos ajustes menores. El proyecto fue realizado en modalidad remota.",3.69,4.22,3.59,3.3,3254.98,mobile_development
15,15,2033,"Muy buen servicio, recomendado para proyectos futuros. Se evaluo tiempo, calidad y comunicacion.",4.72,4.94,4.87,4.21,2530.69,graphic_design
16,16,1727,"La entrega fue aceptable, pero la comunicacion pudo ser mejor. La experiencia general fue registrada por el cliente.",4.13,3.94,3.98,4.26,2110.08,web_development
17,17,2107,La entrega se atraso y fue necesario solicitar muchas correcciones. La experiencia general fue registrada por el cliente.,2.83,3.0,2.75,2.13,2238.52,graphic_design
18,18,1289,Cumplio con la mayor parte del alcance definido. El cliente solicito cambios adicionales.,4.16,3.83,3.92,3.53,68.67,web_development
19,19,1179,"Trabajo limpio, bien documentado y con buena atencion al cliente. El alcance incluia revision de entregables.",4.91,4.63,4.65,4.23,793.94,mobile_development
20,20,1386,"Resultado funcional con algunos detalles pendientes al inicio. Se evaluo tiempo, calidad y comunicacion.",3.97,4.32,3.68,3.81,1461.01,machine_learning
21,21,1512,Entrego antes de la fecha limite y resolvio cambios rapidamente. El alcance incluia revision de entregables.,4.49,4.68,4.48,4.42,4762.63,data_analysis
22,22,1286,Buena disposicion para corregir observaciones despues de la revision. El alcance incluia revision de entregables.,3.53,3.85,4.29,3.53,4735.69,graphic_design
23,23,1358,Se necesito retrabajo porque la primera version tenia errores importantes. La experiencia general fue registrada por el cliente.,3.06,1.88,3.06,1.55,4214.41,customer_support
24,24,2071,"Excelente trabajo, buena comunicacion y entrega rapida. La experiencia general fue registrada por el cliente.",4.54,4.36,4.73,4.77,3634.85,mobile_development
25,25,1938,"Muy profesional, cumplio con todos los requerimientos del proyecto. El alcance incluia revision de entregables.",4.67,4.66,4.94,4.23,2360.35,data_analysis
26,26,1763,Cumplio con la mayor parte del alcance definido. La experiencia general fue registrada por el cliente.,4.12,3.77,3.45,3.65,250.95,web_development
27,27,2156,Se necesito retrabajo porque la primera version tenia errores importantes. El alcance incluia revision de entregables.,2.68,2.54,3.33,1.77,2026.38,web_development
28,28,1629,"Muy buen servicio, recomendado para proyectos futuros. El proyecto fue realizado en modalidad remota.",4.79,4.67,4.41,4.81,309.76,web_development
29,29,1471,"Muy buen servicio, recomendado para proyectos futuros. El alcance incluia revision de entregables.",4.93,4.89,4.44,4.94,4061.87,data_analysis
30,30,1242,"Excelente trabajo, buena comunicacion y entrega rapida. El cliente solicito cambios adicionales.",4.52,4.48,4.79,4.98,4153.21,mobile_development
31,31,1532,Entrego antes de la fecha limite y resolvio cambios rapidamente. El cliente solicito cambios adicionales.,4.49,4.32,4.66,4.9,2248.77,machine_learning
32,32,1190,"Excelente trabajo, buena comunicacion y entrega rapida. El proyecto fue realizado en modalidad remota.",4.89,4.41,4.58,4.34,4189.37,copywriting
33,33,1246,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El cliente solicito cambios adicionales.,4.46,4.38,4.7,4.59,1587.07,data_analysis
34,34,1589,Hubo problemas de seguimiento y varias tareas quedaron incompletas. El alcance incluia revision de entregables.,2.5,3.23,3.39,2.73,327.84,mobile_development
35,35,1756,"La calidad fue alta y mantuvo comunicacion constante durante el proceso. Se evaluo tiempo, calidad y comunicacion.",4.99,4.67,4.65,4.48,1544.74,copywriting
36,36,1920,"Muy buen servicio, recomendado para proyectos futuros. La experiencia general fue registrada por el cliente.",4.48,4.28,4.53,4.63,1385.27,customer_support
37,37,1093,"Excelente trabajo, buena comunicacion y entrega rapida. El proyecto fue realizado en modalidad remota.",4.87,4.64,4.97,4.58,1035.03,graphic_design
38,38,2193,Resultado funcional con algunos detalles pendientes al inicio. La experiencia general fue registrada por el cliente.,4.24,3.27,3.62,3.94,1185.75,digital_marketing
39,39,2444,Cumplio con la mayor parte del alcance definido. La experiencia general fue registrada por el cliente.,3.62,3.58,4.02,3.66,2349.16,digital_marketing
40,40,1767,Se necesito retrabajo porque la primera version tenia errores importantes. El proyecto fue realizado en modalidad remota.,2.84,2.06,3.23,2.46,2203.09,mobile_development
41,41,2249,"Excelente trabajo, buena comunicacion y entrega rapida. Se evaluo tiempo, calidad y comunicacion.",4.48,4.52,4.64,4.67,4249.25,machine_learning
42,42,1881,Buena disposicion para corregir observaciones despues de la revision. El proyecto fue realizado en modalidad remota.,4.29,3.78,3.35,3.3,903.81,digital_marketing
43,43,2090,"El trabajo fue correcto, aunque hubo algunos ajustes menores. El cliente solicito cambios adicionales.",4.13,4.34,4.38,3.57,1368.08,digital_marketing
44,44,1582,"Muy buen servicio, recomendado para proyectos futuros. El alcance incluia revision de entregables.",4.72,4.8,4.89,4.37,1985.26,copywriting
45,45,1078,"Muy buen servicio, recomendado para proyectos futuros. Se evaluo tiempo, calidad y comunicacion.",4.66,4.92,4.62,4.84,2690.16,customer_support
46,46,1839,"Muy buen servicio, recomendado para proyectos futuros. El cliente solicito cambios adicionales.",4.95,4.77,4.97,4.78,108.63,machine_learning
47,47,2337,"Muy profesional, cumplio con todos los requerimientos del proyecto. El cliente solicito cambios adicionales.",4.97,4.77,4.64,4.58,850.14,graphic_design
48,48,2389,"La entrega fue aceptable, pero la comunicacion pudo ser mejor. El alcance incluia revision de entregables.",3.6,3.46,3.48,3.84,2332.3,machine_learning
49,49,2380,"Muy buen servicio, recomendado para proyectos futuros. La experiencia general fue registrada por el cliente.",4.89,4.81,4.7,4.46,2255.84,machine_learning
50,50,1543,"Muy buen servicio, recomendado para proyectos futuros. El cliente solicito cambios adicionales.",4.65,4.79,4.33,4.53,4328.99,customer_support
51,51,1050,"El trabajo fue correcto, aunque hubo algunos ajustes menores. El alcance incluia revision de entregables.",3.94,3.37,4.24,3.56,1573.42,mobile_development
52,52,1823,"El trabajo fue correcto, aunque hubo algunos ajustes menores. El cliente solicito cambios adicionales.",3.87,3.47,4.06,3.61,855.5,customer_support
53,53,1919,"Muy profesional, cumplio con todos los requerimientos del proyecto. El proyecto fue realizado en modalidad remota.",4.64,4.55,4.7,4.37,1142.78,web_development
54,54,2274,Entrego antes de la fecha limite y resolvio cambios rapidamente. El proyecto fue realizado en modalidad remota.,4.79,4.51,4.32,4.27,4032.05,copywriting
55,55,1241,Entrego antes de la fecha limite y resolvio cambios rapidamente. La experiencia general fue registrada por el cliente.,4.51,4.93,4.76,4.9,1660.59,machine_learning
56,56,1467,Se necesito retrabajo porque la primera version tenia errores importantes. El alcance incluia revision de entregables.,3.15,3.28,2.63,2.02,4231.27,web_development
57,57,1766,Resultado funcional con algunos detalles pendientes al inicio. El proyecto fue realizado en modalidad remota.,3.73,3.78,3.56,4.35,2317.68,web_development
58,58,1133,"La calidad fue alta y mantuvo comunicacion constante durante el proceso. Se evaluo tiempo, calidad y comunicacion.",4.61,4.33,4.35,4.41,623.11,customer_support
59,59,2477,La entrega se atraso y fue necesario solicitar muchas correcciones. El alcance incluia revision de entregables.,2.82,3.2,2.86,1.54,329.61,web_development
60,60,1549,"Muy buen servicio, recomendado para proyectos futuros. El proyecto fue realizado en modalidad remota.",4.47,4.94,4.6,4.65,335.17,digital_marketing
61,61,1447,"La entrega se atraso y fue necesario solicitar muchas correcciones. Se evaluo tiempo, calidad y comunicacion.",2.06,2.43,2.77,2.67,944.11,customer_support
62,62,1461,"Excelente trabajo, buena comunicacion y entrega rapida. La experiencia general fue registrada por el cliente.",4.64,4.63,4.63,4.52,3140.9,customer_support
63,63,2018,"Excelente trabajo, buena comunicacion y entrega rapida. El proyecto fue realizado en modalidad remota.",4.63,4.39,4.75,4.65,817.97,graphic_design
64,64,1306,"Entrego antes de la fecha limite y resolvio cambios rapidamente. Se evaluo tiempo, calidad y comunicacion.",4.54,4.3,4.91,4.91,4988.23,mobile_development
65,65,2033,"Muy profesional, cumplio con todos los requerimientos del proyecto. El proyecto fue realizado en modalidad remota.",4.69,4.6,4.62,4.7,1360.41,customer_support
66,66,2059,"Muy buen servicio, recomendado para proyectos futuros. El proyecto fue realizado en modalidad remota.",4.46,4.83,4.52,4.93,755.64,machine_learning
67,67,2342,"Muy buen servicio, recomendado para proyectos futuros. El proyecto fue realizado en modalidad remota.",4.75,4.83,4.88,4.62,4883.6,copywriting
68,68,1485,"Buena disposicion para corregir observaciones despues de la revision. Se evaluo tiempo, calidad y comunicacion.",4.2,3.68,4.0,3.72,755.06,mobile_development
69,69,1058,La calidad fue alta y mantuvo comunicacion constante durante el proceso. La experiencia general fue registrada por el cliente.,4.71,4.47,4.45,4.35,294.74,mobile_development
70,70,1755,"Muy buen servicio, recomendado para proyectos futuros. Se evaluo tiempo, calidad y comunicacion.",4.5,4.85,4.7,4.92,1816.41,mobile_development
71,71,1952,"Entrego antes de la fecha limite y resolvio cambios rapidamente. Se evaluo tiempo, calidad y comunicacion.",4.7,4.87,4.5,4.42,260.68,data_analysis
72,72,1976,Cumplio con la mayor parte del alcance definido. El proyecto fue realizado en modalidad remota.,3.54,4.11,4.23,4.28,3091.78,copywriting
73,73,1937,"Entrego antes de la fecha limite y resolvio cambios rapidamente. Se evaluo tiempo, calidad y comunicacion.",4.45,4.7,4.88,4.35,116.72,graphic_design
74,74,1093,"Excelente trabajo, buena comunicacion y entrega rapida. El cliente solicito cambios adicionales.",4.59,4.48,4.84,4.83,3163.44,mobile_development
75,75,2354,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El proyecto fue realizado en modalidad remota.,4.47,4.69,4.81,4.88,4049.16,machine_learning
76,76,2154,"Trabajo limpio, bien documentado y con buena atencion al cliente. La experiencia general fue registrada por el cliente.",4.98,4.52,4.66,4.48,2721.44,mobile_development
77,77,1717,Buena disposicion para corregir observaciones despues de la revision. La experiencia general fue registrada por el cliente.,4.02,3.48,3.68,3.56,3292.25,mobile_development
78,78,1346,"Trabajo limpio, bien documentado y con buena atencion al cliente. El alcance incluia revision de entregables.",4.67,4.34,4.97,4.52,4494.02,graphic_design
79,79,1489,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El cliente solicito cambios adicionales.,4.48,4.4,4.86,4.69,4944.32,data_analysis
80,80,2245,Resultado funcional con algunos detalles pendientes al inicio. El proyecto fue realizado en modalidad remota.,3.87,4.29,4.28,4.17,3071.64,customer_support
81,81,1086,"Excelente trabajo, buena comunicacion y entrega rapida. La experiencia general fue registrada por el cliente.",4.78,4.36,4.81,4.69,2924.34,web_development
82,82,2259,"El trabajo fue correcto, aunque hubo algunos ajustes menores. El proyecto fue realizado en modalidad remota.",4.02,4.34,4.24,4.39,1934.06,mobile_development
83,83,1877,"Muy buen servicio, recomendado para proyectos futuros. El proyecto fue realizado en modalidad remota.",4.5,4.91,4.55,4.71,3744.66,graphic_design
84,84,2485,"Excelente trabajo, buena comunicacion y entrega rapida. El proyecto fue realizado en modalidad remota.",4.45,4.93,4.68,4.44,182.79,copywriting
85,85,1625,Resultado funcional con algunos detalles pendientes al inicio. El proyecto fue realizado en modalidad remota.,4.04,4.38,3.4,3.32,4942.53,customer_support
86,86,1786,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El alcance incluia revision de entregables.,4.92,4.49,4.45,4.24,2068.49,graphic_design
87,87,1398,Entrego antes de la fecha limite y resolvio cambios rapidamente. El cliente solicito cambios adicionales.,4.65,4.87,4.63,4.63,3061.82,web_development
88,88,1174,Buena disposicion para corregir observaciones despues de la revision. El alcance incluia revision de entregables.,3.65,3.54,3.55,4.12,526.08,mobile_development
89,89,1408,"Muy profesional, cumplio con todos los requerimientos del proyecto. La experiencia general fue registrada por el cliente.",4.51,4.97,4.53,4.24,382.96,digital_marketing
90,90,2076,"La entrega fue aceptable, pero la comunicacion pudo ser mejor. El cliente solicito cambios adicionales.",3.59,3.96,4.02,4.06,1143.33,customer_support
91,91,1984,"Trabajo limpio, bien documentado y con buena atencion al cliente. La experiencia general fue registrada por el cliente.",4.74,4.28,4.59,4.27,4095.31,mobile_development
92,92,2071,"Trabajo limpio, bien documentado y con buena atencion al cliente. El cliente solicito cambios adicionales.",4.72,4.72,4.7,4.78,2771.85,data_analysis
93,93,2388,La calidad fue alta y mantuvo comunicacion constante durante el proceso. La experiencia general fue registrada por el cliente.,4.99,4.72,4.5,4.45,2922.0,mobile_development
94,94,1759,"Excelente trabajo, buena comunicacion y entrega rapida. Se evaluo tiempo, calidad y comunicacion.",4.44,4.36,4.81,4.57,4211.65,mobile_development
95,95,2228,Resultado funcional con algunos detalles pendientes al inicio. El proyecto fue realizado en modalidad remota.,3.51,3.48,3.41,3.43,1482.17,machine_learning
96,96,1099,Hubo problemas de seguimiento y varias tareas quedaron incompletas. La experiencia general fue registrada por el cliente.,2.69,3.29,2.64,2.28,2008.44,digital_marketing
97,97,2494,"Trabajo limpio, bien documentado y con buena atencion al cliente. La experiencia general fue registrada por el cliente.",4.92,4.67,4.57,4.66,4576.95,digital_marketing
98,98,1462,"Trabajo limpio, bien documentado y con buena atencion al cliente. El alcance incluia revision de entregables.",4.95,4.28,4.53,4.83,2182.62,web_development
99,99,2163,"Excelente trabajo, buena comunicacion y entrega rapida. La experiencia general fue registrada por el cliente.",4.83,4.83,4.53,4.81,2826.65,digital_marketing
100,100,1967,Cumplio con la mayor parte del alcance definido. El cliente solicito cambios adicionales.,3.8,4.37,4.39,3.78,4171.78,digital_marketing
101,101,1191,"Trabajo limpio, bien documentado y con buena atencion al cliente. El cliente solicito cambios adicionales.",4.87,4.71,4.83,4.59,4241.63,customer_support
102,102,1601,"Muy profesional, cumplio con todos los requerimientos del proyecto. El proyecto fue realizado en modalidad remota.",4.67,4.82,4.87,4.21,4595.03,copywriting
103,103,1962,"Muy buen servicio, recomendado para proyectos futuros. El cliente solicito cambios adicionales.",4.79,4.23,4.56,4.5,990.62,machine_learning
104,104,1200,"Trabajo limpio, bien documentado y con buena atencion al cliente. La experiencia general fue registrada por el cliente.",4.82,4.49,4.77,4.37,4203.96,graphic_design
105,105,1993,Cumplio con la mayor parte del alcance definido. La experiencia general fue registrada por el cliente.,4.2,4.15,4.27,3.49,2393.1,customer_support
106,106,1485,"El trabajo fue correcto, aunque hubo algunos ajustes menores. El cliente solicito cambios adicionales.",3.44,4.13,3.33,3.61,425.11,machine_learning
107,107,2288,"Resultado funcional con algunos detalles pendientes al inicio. Se evaluo tiempo, calidad y comunicacion.",4.22,4.02,4.17,4.35,296.1,customer_support
108,108,2454,"Excelente trabajo, buena comunicacion y entrega rapida. La experiencia general fue registrada por el cliente.",4.63,4.88,4.85,4.23,898.19,digital_marketing
109,109,2471,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El proyecto fue realizado en modalidad remota.,4.6,4.48,4.67,4.84,4129.74,copywriting
110,110,1368,"Muy buen servicio, recomendado para proyectos futuros. El cliente solicito cambios adicionales.",5.0,4.36,4.92,4.4,1039.94,graphic_design
111,111,1444,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El alcance incluia revision de entregables.,4.96,4.61,4.7,4.24,148.69,mobile_development
112,112,1202,"Muy profesional, cumplio con todos los requerimientos del proyecto. El alcance incluia revision de entregables.",4.73,4.85,4.58,4.73,3158.65,web_development
113,113,1634,"Muy profesional, cumplio con todos los requerimientos del proyecto. El cliente solicito cambios adicionales.",4.51,4.89,4.39,4.74,3202.91,customer_support
114,114,2172,Cumplio con la mayor parte del alcance definido. El proyecto fue realizado en modalidad remota.,3.49,3.48,4.22,4.07,3608.68,copywriting
115,115,1729,El resultado no cumplio completamente con la calidad esperada. La experiencia general fue registrada por el cliente.,2.07,2.22,2.51,1.6,3332.94,copywriting
116,116,2334,La entrega se atraso y fue necesario solicitar muchas correcciones. La experiencia general fue registrada por el cliente.,2.04,2.01,3.21,1.51,2232.21,mobile_development
117,117,1982,La calidad fue alta y mantuvo comunicacion constante durante el proceso. La experiencia general fue registrada por el cliente.,4.42,4.43,4.51,4.88,3832.15,machine_learning
118,118,1353,"La entrega fue aceptable, pero la comunicacion pudo ser mejor. El proyecto fue realizado en modalidad remota.",3.76,3.92,3.95,3.72,1264.7,web_development
119,119,2057,La comunicacion fue lenta y algunos requerimientos no quedaron claros. El cliente solicito cambios adicionales.,2.79,3.18,2.89,2.73,3188.52,web_development
120,120,1266,"Muy profesional, cumplio con todos los requerimientos del proyecto. El alcance incluia revision de entregables.",4.5,4.52,4.79,4.26,1998.01,web_development
121,121,1854,"Muy profesional, cumplio con todos los requerimientos del proyecto. Se evaluo tiempo, calidad y comunicacion.",4.67,4.72,4.47,4.25,511.98,graphic_design
122,122,2387,El resultado no cumplio completamente con la calidad esperada. El cliente solicito cambios adicionales.,2.04,2.69,3.16,1.66,3411.78,copywriting
123,123,2085,"Trabajo limpio, bien documentado y con buena atencion al cliente. La experiencia general fue registrada por el cliente.",4.85,4.22,4.34,4.75,2158.31,copywriting
124,124,2478,Se necesito retrabajo porque la primera version tenia errores importantes. La experiencia general fue registrada por el cliente.,2.81,3.0,2.69,3.03,4556.25,graphic_design
125,125,2117,"La entrega se atraso y fue necesario solicitar muchas correcciones. Se evaluo tiempo, calidad y comunicacion.",3.06,2.61,2.54,1.74,1479.24,web_development
126,126,1404,Buena disposicion para corregir observaciones despues de la revision. El proyecto fue realizado en modalidad remota.,4.29,3.57,3.93,3.34,4247.21,web_development
127,127,1567,"Muy buen servicio, recomendado para proyectos futuros. El proyecto fue realizado en modalidad remota.",4.98,4.68,4.4,4.47,2950.43,data_analysis
128,128,2168,Buena disposicion para corregir observaciones despues de la revision. El cliente solicito cambios adicionales.,4.15,4.16,3.4,4.04,694.45,copywriting
129,129,2439,"Muy profesional, cumplio con todos los requerimientos del proyecto. La experiencia general fue registrada por el cliente.",4.88,4.64,4.71,4.99,991.96,mobile_development
130,130,1489,"Muy buen servicio, recomendado para proyectos futuros. Se evaluo tiempo, calidad y comunicacion.",4.59,4.31,4.83,4.51,2967.22,customer_support
131,131,1823,"Excelente trabajo, buena comunicacion y entrega rapida. Se evaluo tiempo, calidad y comunicacion.",4.92,4.53,4.62,4.53,3568.11,customer_support
132,132,1690,"Muy profesional, cumplio con todos los requerimientos del proyecto. El proyecto fue realizado en modalidad remota.",4.59,4.81,4.9,4.57,3598.2,digital_marketing
133,133,2262,"Trabajo limpio, bien documentado y con buena atencion al cliente. El cliente solicito cambios adicionales.",4.86,4.21,4.44,4.27,212.81,data_analysis
134,134,1189,"Cumplio con la mayor parte del alcance definido. Se evaluo tiempo, calidad y comunicacion.",3.73,3.25,3.43,3.92,4329.48,graphic_design
135,135,1282,Resultado funcional con algunos detalles pendientes al inicio. El proyecto fue realizado en modalidad remota.,3.77,4.39,3.38,3.72,802.42,copywriting
136,136,1561,"Trabajo limpio, bien documentado y con buena atencion al cliente. El proyecto fue realizado en modalidad remota.",4.86,4.74,4.84,4.51,2755.9,web_development
137,137,2356,"Buena disposicion para corregir observaciones despues de la revision. Se evaluo tiempo, calidad y comunicacion.",4.18,4.11,3.59,4.28,4354.01,machine_learning
138,138,1741,"Muy buen servicio, recomendado para proyectos futuros. La experiencia general fue registrada por el cliente.",4.86,4.74,4.47,4.86,4952.38,customer_support
139,139,1189,"Trabajo limpio, bien documentado y con buena atencion al cliente. Se evaluo tiempo, calidad y comunicacion.",4.89,4.56,4.4,4.95,3385.44,digital_marketing
140,140,1937,"Muy profesional, cumplio con todos los requerimientos del proyecto. La experiencia general fue registrada por el cliente.",4.59,4.5,4.99,4.26,2185.7,digital_marketing
141,141,1811,"Excelente trabajo, buena comunicacion y entrega rapida. El alcance incluia revision de entregables.",4.92,4.42,4.46,4.9,2860.43,data_analysis
142,142,2394,"Trabajo limpio, bien documentado y con buena atencion al cliente. Se evaluo tiempo, calidad y comunicacion.",4.87,4.63,4.87,4.81,805.22,machine_learning
143,143,1150,"Muy buen servicio, recomendado para proyectos futuros. Se evaluo tiempo, calidad y comunicacion.",4.45,4.54,4.89,4.87,2997.04,graphic_design
144,144,2123,"Muy profesional, cumplio con todos los requerimientos del proyecto. El proyecto fue realizado en modalidad remota.",4.46,4.99,4.56,4.9,605.49,web_development
145,145,1374,"Se necesito retrabajo porque la primera version tenia errores importantes. Se evaluo tiempo, calidad y comunicacion.",2.11,2.11,2.4,2.24,481.94,graphic_design
146,146,2099,La calidad fue alta y mantuvo comunicacion constante durante el proceso. La experiencia general fue registrada por el cliente.,4.74,4.95,4.61,4.47,936.69,customer_support
147,147,1355,"Excelente trabajo, buena comunicacion y entrega rapida. El proyecto fue realizado en modalidad remota.",4.51,4.88,4.44,4.75,3786.16,machine_learning
148,148,1322,"El trabajo fue correcto, aunque hubo algunos ajustes menores. Se evaluo tiempo, calidad y comunicacion.",3.45,4.4,4.04,3.21,3791.1,copywriting
149,149,1006,Entrego antes de la fecha limite y resolvio cambios rapidamente. La experiencia general fue registrada por el cliente.,4.43,4.97,4.82,4.61,3393.56,copywriting
150,150,2346,"La entrega fue aceptable, pero la comunicacion pudo ser mejor. El cliente solicito cambios adicionales.",4.05,3.41,4.39,3.81,732.65,data_analysis
151,151,2337,Cumplio con la mayor parte del alcance definido. El cliente solicito cambios adicionales.,3.78,3.41,3.33,3.17,410.17,mobile_development
152,152,2274,La calidad fue alta y mantuvo comunicacion constante durante el proceso. La experiencia general fue registrada por el cliente.,4.82,4.52,4.66,4.55,2500.72,customer_support
153,153,1780,Entrego antes de la fecha limite y resolvio cambios rapidamente. El cliente solicito cambios adicionales.,4.64,4.79,4.96,4.36,4371.55,machine_learning
154,154,1684,La comunicacion fue lenta y algunos requerimientos no quedaron claros. El proyecto fue realizado en modalidad remota.,2.99,2.25,2.1,2.52,3136.2,digital_marketing
155,155,2266,"Muy buen servicio, recomendado para proyectos futuros. Se evaluo tiempo, calidad y comunicacion.",4.81,4.53,4.82,4.71,1938.53,data_analysis
156,156,1231,Cumplio con la mayor parte del alcance definido. El cliente solicito cambios adicionales.,3.73,3.43,4.33,4.07,1651.47,copywriting
157,157,2495,"La entrega se atraso y fue necesario solicitar muchas correcciones. Se evaluo tiempo, calidad y comunicacion.",2.6,2.46,2.89,2.68,4459.58,graphic_design
158,158,1835,Entrego antes de la fecha limite y resolvio cambios rapidamente. La experiencia general fue registrada por el cliente.,4.6,4.93,4.85,4.74,3891.8,digital_marketing
159,159,2299,"La calidad fue alta y mantuvo comunicacion constante durante el proceso. Se evaluo tiempo, calidad y comunicacion.",4.76,4.84,4.43,4.31,2381.72,graphic_design
160,160,1168,Entrego antes de la fecha limite y resolvio cambios rapidamente. El proyecto fue realizado en modalidad remota.,4.42,4.91,4.34,4.26,3957.14,customer_support
161,161,1621,Entrego antes de la fecha limite y resolvio cambios rapidamente. El proyecto fue realizado en modalidad remota.,4.59,4.28,4.38,4.71,605.94,graphic_design
162,162,1311,Resultado funcional con algunos detalles pendientes al inicio. El alcance incluia revision de entregables.,3.64,3.38,4.21,3.17,4855.01,data_analysis
163,163,2103,"Buena disposicion para corregir observaciones despues de la revision. Se evaluo tiempo, calidad y comunicacion.",3.74,3.92,3.47,4.14,4948.8,customer_support
164,164,1754,La entrega se atraso y fue necesario solicitar muchas correcciones. El cliente solicito cambios adicionales.,3.01,3.08,2.03,2.99,4939.59,customer_support
165,165,1508,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El cliente solicito cambios adicionales.,4.69,4.67,4.87,4.87,3022.32,web_development
166,166,1254,"Muy buen servicio, recomendado para proyectos futuros. El cliente solicito cambios adicionales.",4.88,4.69,4.74,4.43,1261.68,machine_learning
167,167,1739,"Excelente trabajo, buena comunicacion y entrega rapida. El cliente solicito cambios adicionales.",4.52,4.7,4.76,4.25,2914.14,web_development
168,168,2451,Entrego antes de la fecha limite y resolvio cambios rapidamente. El alcance incluia revision de entregables.,4.68,4.93,4.97,4.23,113.94,data_analysis
169,169,2192,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El proyecto fue realizado en modalidad remota.,4.75,4.72,4.49,4.63,2613.33,machine_learning
170,170,2458,"Buena disposicion para corregir observaciones despues de la revision. Se evaluo tiempo, calidad y comunicacion.",3.69,3.49,4.14,4.18,3297.33,data_analysis
171,171,1699,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El cliente solicito cambios adicionales.,4.9,4.63,4.58,4.8,3082.55,data_analysis
172,172,1877,"Se necesito retrabajo porque la primera version tenia errores importantes. Se evaluo tiempo, calidad y comunicacion.",2.23,2.09,2.15,1.88,655.71,copywriting
173,173,1815,La calidad fue alta y mantuvo comunicacion constante durante el proceso. El proyecto fue realizado en modalidad remota.,4.69,4.94,4.83,4.92,3494.34,data_analysis
174,174,1349,"La calidad fue alta y mantuvo comunicacion constante durante el proceso. Se evaluo tiempo, calidad y comunicacion.",4.67,4.36,4.31,4.53,1171.1,graphic_design
175,175,2380,"Trabajo limpio, bien documentado y con buena atencion al cliente. El cliente solicito cambios adicionales.",4.66,4.46,4.33,5.0,2214.6,mobile_development
176,176,1866,"Muy profesional, cumplio con todos los requerimientos del proyecto. El proyecto fue realizado en modalidad remota.",4.8,4.45,4.41,4.9,2425.62,customer_support
177,177,2094,Entrego antes de la fecha limite y resolvio cambios rapidamente. El alcance incluia revision de entregables.,4.87,4.84,4.56,4.95,773.81,data_analysis
178,178,2312,"El trabajo fue correcto, aunque hubo algunos ajustes menores. El alcance incluia revision de entregables.",4.06,3.96,4.06,3.23,4555.38,graphic_design
179,179,2391,Entrego antes de la fecha limite y resolvio cambios rapidamente. El alcance incluia revision de entregables.,4.43,4.92,4.97,4.66,4343.92,graphic_design
180,180,1236,Entrego antes de la fecha limite y resolvio cambios rapidamente. El alcance incluia revision de entregables.,4.6,4.96,4.75,4.83,3464.68,copywriting
